device,subject,browser,Memory Usage [KB],CPU3 Load [%],CPU3 Frequency [kHz],CPU2 Frequency [kHz],CPU5 Load [%],CPU6 Load [%],CPU5 Frequency [kHz],CPU4 Load [%],CPU8 Load [%],CPU Load [%],Battery Status,CPU6 Frequency [kHz],CPU4 Frequency [kHz],GPU Frequency [KHz],duration(s),CPU2 Load [%],CPU1 Frequency [kHz],Battery Power* [uW],CPU8 Frequency [kHz],CPU7 Frequency [kHz],GPU Load [%],CPU1 Load [%],CPU7 Load [%]
nexus6p,angular_ngrx_nx,comandroidchrome,2792467.0588235296,20.908918406072107,1360431.119544592,1361587.8557874763,24.149905123339657,11.252371916508539,1103070.9677419355,17.654648956356738,5.842504743833017,19.571157495256166,3.0,1104783.30170778,1359128.6527514232,185929.79127134726,57,25.519924098671726,1361809.0909090908,382014.9696394687,1100229.2220113853,1104163.9468690702,1.1214421252371916,46.02462121212121,7.1555977229601515
nexus6p,angular_ngrx_nx,comandroidchrome,2786010.992366412,19.209923664122137,1351658.0152671756,1353737.4045801526,21.423664122137403,12.627862595419847,1100372.5190839695,17.799618320610687,6.291984732824427,18.561068702290076,3.0,1100299.2366412214,1351456.4885496183,186851.14503816795,58,21.633587786259543,1364418.3206106871,416277.177480916,1101398.4732824427,1101398.4732824427,1.9484732824427482,42.9236641221374,8.076335877862595
nexus6p,angular_ngrx_nx,comandroidchrome,2785909.4608030594,18.73854961832061,1332925.1908396946,1330323.6641221375,22.580152671755727,12.435946462715105,1108470.2290076336,16.591603053435115,6.449330783938814,18.690248565965582,3.0,1109304.7801147227,1336287.0229007634,184063.09751434033,58,22.713740458015266,1335161.759082218,387953.4713740458,1109598.4703632887,1109414.913957935,1.569789674952199,43.51242829827916,7.374760994263863
nexus6p,angular_ngrx_nx,comandroidchrome,2783363.9844660196,20.55145631067961,1340961.5533980583,1339097.4757281553,23.93592233009709,11.157281553398057,1122062.912621359,17.351456310679612,6.51556420233463,18.972762645914397,3.0,1121913.786407767,1343245.0485436893,186011.67315175096,57,22.033009708737865,1343962.7184466019,403818.76699029125,1120286.381322957,1121481.7120622569,1.9785992217898833,44.4,7.78988326848249
nexus6p,angular_ngrx_nx,comandroidchrome,2732084.120982987,18.168560606060606,1335327.2727272727,1335063.6363636365,22.223484848484848,12.117424242424242,1072945.4545454546,16.359848484848484,5.359848484848484,18.331439393939394,3.0,1073600.0,1333809.0909090908,185615.5303030303,58,22.373106060606062,1333338.3742911152,373248.2784090909,1044763.6363636364,1073709.0909090908,2.070075757575758,44.04725897920605,8.149621212121213
nexus6p,angular_ngrx_nx,comandroidchrome,2784482.6462715105,19.678776290630974,1356408.413001912,1354930.7839388144,22.492337164750957,11.597701149425287,1109259.7701149425,15.60727969348659,6.517241379310345,18.528735632183906,3.0,1109517.2413793104,1356775.5258126196,183831.41762452107,58,23.810707456978967,1356692.9254302103,437784.9233716475,1105618.3908045976,1108082.7586206896,1.9904214559386972,43.912045889101336,7.103448275862069
nexus6p,angular_ngrx_nx,comandroidchrome,2767066.6283524903,21.132183908045977,1325820.6896551724,1328119.5402298851,24.06513409961686,12.567049808429118,1085094.2528735632,15.664750957854405,5.335249042145594,18.74856046065259,3.0,1083402.2988505748,1328275.8620689656,188074.71264367815,57,21.82183908045977,1332377.0114942528,396893.0517241379,998878.1609195402,1081489.6551724137,1.1111111111111112,43.46551724137931,6.733716475095785
nexus6p,angular_ngrx_nx,comandroidchrome,2718388.6756238006,18.628846153846155,1348043.076923077,1350310.9404990403,22.153846153846153,13.707692307692307,1099975.3846153845,16.817307692307693,5.7846153846153845,18.74230769230769,3.0,1098793.8461538462,1351181.5384615385,187788.46153846153,58,22.614203454894433,1348274.8560460652,450960.3307692308,1099163.076923077,1098350.7692307692,1.2326923076923078,44.604606525911706,7.736538461538461
nexus6p,angular_ngrx_nx,comandroidchrome,2726079.909722222,19.507826086956523,1349509.5652173914,1348408.3333333333,22.045217391304348,10.05391304347826,1060474.4347826086,15.318260869565217,5.549565217391304,17.90086956521739,3.0,1059072.0,1351830.2608695652,184565.21739130435,59,21.50173611111111,1351358.3333333333,356402.3356521739,1052226.7826086956,1056267.1304347827,1.2330434782608695,44.604166666666664,6.895652173913043
nexus6p,angular_ngrx_nx,comandroidchrome,2737234.0188323916,18.48964218455744,1339787.5706214688,1341007.9096045198,23.225988700564972,11.235404896421846,1086155.93220339,16.495291902071564,5.341509433962264,18.247169811320756,3.0,1086264.406779661,1343945.7627118644,184716.98113207548,58,22.338983050847457,1344388.7005649717,388169.95856873825,1023819.2090395481,1085288.1355932204,2.0018867924528303,43.18079096045198,7.642184557438795
nexus6p,angular_ngrx_nx,comandroidchrome,2722048.4809160307,18.5717017208413,1351525.812619503,1350622.9007633587,23.940726577437857,10.491395793499043,1117050.86042065,16.90248565965583,7.055449330783939,18.508604206500955,3.0,1117601.5296367113,1352764.8183556406,187342.25621414915,58,22.3206106870229,1354314.503816794,430161.4741873805,1112939.1969407266,1115839.3881453155,1.6003824091778203,43.41984732824427,7.493307839388145
nexus6p,angular_ngrx_nx,comandroidchrome,2782984.5965583175,18.90248565965583,1364301.3384321223,1366834.416826004,21.78967495219885,12.973231357552581,1117528.1070745697,16.94455066921606,7.281070745697897,18.46845124282983,3.0,1118078.776290631,1365595.4110898662,185507.66283524904,59,20.889101338432123,1371551.8164435946,467533.88910133846,1117931.931166348,1117821.7973231357,2.2581261950286806,42.7093690248566,7.281070745697897
nexus6p,angular_ngrx_nx,comandroidchrome,2783874.782273603,19.754826254826256,1350106.5637065638,1351019.6531791908,23.85135135135135,10.947876447876448,1110115.83011583,16.0,5.461389961389961,18.41891891891892,3.0,1111227.7992277993,1349967.5675675676,187480.69498069497,59,23.09826589595376,1349086.7052023122,415172.6254826255,1110783.0115830116,1111969.111969112,2.0328185328185326,42.605009633911365,7.996138996138996
nexus6p,angular_ngrx_nx,comandroidchrome,2726019.5938697318,19.844827586206897,1351411.4942528736,1351117.2413793104,20.15134099616858,13.526819923371647,1093039.08045977,15.946360153256705,6.256704980842912,18.522988505747126,3.0,1093517.2413793104,1352901.1494252873,185507.66283524904,57,22.517241379310345,1349956.4053537284,408788.28544061305,1094988.5057471264,1094510.3448275863,1.946360153256705,44.06500956022945,8.149425287356323
nexus6p,angular_ngrx_nx,comandroidchrome,2758555.626485569,20.30730050933786,1370355.1782682512,1370379.6264855687,23.33276740237691,10.229202037351444,1067800.339558574,15.621392190152802,4.738539898132428,18.375212224108658,3.0,1067898.1324278438,1369866.2139219015,183820.0339558574,59,21.954159592529713,1375236.6723259762,334643.13412563666,992141.2563667232,1069136.8421052631,1.497453310696095,44.74702886247878,6.983022071307301
nexus6p,angular_ngrx_nx,comandroidchrome,2772476.7466666666,19.85904761904762,1377069.7142857143,1374994.2857142857,21.773333333333333,14.424761904761905,1068288.0,14.771428571428572,5.232824427480916,18.84351145038168,3.0,1069824.0,1376594.2857142857,187805.3435114504,58,22.097142857142856,1382354.2857142857,377244.6457142857,962889.1428571428,1069092.5714285714,1.0400763358778626,43.97904761904762,8.123809523809523
nexus6p,angular_ngrx_nx,comandroidchrome,2742377.918128655,19.586744639376217,1359054.970760234,1359915.7894736843,23.313840155945417,13.6171875,1112814.0350877193,15.746588693957115,5.05078125,18.544921875,3.0,1113375.4385964912,1359447.9532163742,186347.65625,58,22.59259259259259,1361291.2280701755,388630.79142300197,1065375.0,1115137.5,1.263671875,42.43859649122807,7.150390625
nexus6p,angular_ngrx_nx,comandroidchrome,2782070.953846154,19.68653846153846,1347461.5384615385,1347489.2307692308,23.396153846153847,11.759615384615385,1083027.6923076923,17.26153846153846,5.226923076923077,18.68208092485549,3.0,1083840.0,1349076.923076923,186250.0,58,22.78076923076923,1349547.6923076923,339279.225,1075384.6153846155,1080849.2307692308,1.1329479768786128,44.832692307692305,6.746153846153846
nexus6p,angular_ngrx_nx,comandroidchrome,2749237.8971428573,20.217142857142857,1329590.857142857,1329746.2857142857,21.06095238095238,12.822519083969466,1097179.4285714286,14.939047619047619,5.293893129770993,18.278625954198475,3.0,1097106.2857142857,1330066.2857142857,184293.893129771,58,21.940952380952382,1331355.4285714286,403745.44,1045007.6335877862,1098540.4580152673,1.297709923664122,42.55809523809524,8.757633587786259
nexus6p,angular_ngrx_nx,comandroidchrome,2782885.9510357818,19.726930320150657,1360912.9943502825,1362639.548022599,21.77024482109228,11.382297551789078,1083335.593220339,16.3954802259887,5.135593220338983,18.145009416195858,3.0,1082106.2146892655,1361816.9491525423,185979.28436911487,58,21.073446327683616,1366137.8531073446,379340.2429378531,1083459.6226415094,1082612.4293785312,1.945386064030132,43.65160075329567,7.841509433962264
