device,subject,browser,Memory Usage [KB],CPU3 Load [%],CPU3 Frequency [kHz],CPU2 Frequency [kHz],CPU5 Load [%],CPU6 Load [%],CPU5 Frequency [kHz],CPU4 Load [%],CPU8 Load [%],CPU Load [%],Battery Status,CPU6 Frequency [kHz],CPU4 Frequency [kHz],GPU Frequency [KHz],duration(s),CPU2 Load [%],CPU1 Frequency [kHz],Battery Power* [uW],CPU8 Frequency [kHz],CPU7 Frequency [kHz],GPU Load [%],CPU1 Load [%],CPU7 Load [%]
nexus6p,angularjs,comandroidchrome,2781226.9404990403,18.489443378119002,1316729.3666026872,1314398.4644913627,20.418426103646834,12.017274472168905,1073652.207293666,16.942418426103647,6.452975047984645,18.14587332053743,3.0,1074831.4779270634,1317678.310940499,180479.84644913627,58,20.961612284069098,1317682.7586206896,440888.8003838772,1043138.5796545106,1074278.6948176583,1.435700575815739,42.911708253358924,9.500959692898272
nexus6p,angularjs,comandroidchrome,2761445.015151515,20.015151515151516,1338927.2727272727,1340881.8181818181,19.994328922495274,9.901701323251418,1043636.3636363636,16.827651515151516,5.486742424242424,18.236742424242426,3.0,1043042.7221172022,1340536.3636363635,181183.71212121213,57,21.829545454545453,1343109.0909090908,371481.94517958415,997782.9867674859,1040792.4385633271,1.321969696969697,43.91287878787879,9.313799621928167
nexus6p,angularjs,comandroidchrome,2776534.933333333,20.08,1330230.857142857,1333110.857142857,23.523809523809526,9.417142857142856,1050733.7142857143,17.17904761904762,5.699047619047619,18.23854961832061,3.0,1051282.2857142857,1329408.0,180000.0,59,21.382857142857144,1335780.5714285714,446956.0819047619,1055597.7142857143,1053257.142857143,1.3161904761904761,44.184761904761906,6.721904761904762
nexus6p,angularjs,comandroidchrome,2774775.053846154,19.94990366088632,1316263.583815029,1318705.2023121386,22.822736030828516,11.851637764932562,1074793.063583815,14.921001926782274,5.797687861271676,18.414258188824665,3.0,1076790.7514450867,1316624.2774566475,180000.0,59,22.414258188824665,1322704.6153846155,402912.063583815,1077160.6936416186,1076346.8208092486,1.2254335260115607,43.340384615384615,7.7244701348747595
nexus6p,angularjs,comandroidchrome,2770695.143939394,19.083491461100568,1327490.9090909092,1330436.3636363635,22.59203036053131,10.870967741935484,1047511.1954459203,15.30740037950664,5.3282732447817835,18.0853889943074,3.0,1048057.6850094877,1328197.3434535104,181185.95825426944,59,21.867424242424242,1334718.1818181819,424842.0588235294,984081.9734345351,1050680.834914611,1.113851992409867,42.78030303030303,8.499051233396585
nexus6p,angularjs,comandroidchrome,2780698.186770428,17.857976653696497,1336968.093385214,1337042.8015564203,18.19260700389105,14.955252918287938,1081849.027237354,16.91828793774319,8.363813229571985,18.463937621832358,3.0,1083529.9610894942,1333867.7042801557,181218.32358674463,59,21.30544747081712,1340666.1478599221,327460.2392996109,1040834.2412451361,1081326.0700389105,1.631578947368421,43.824902723735406,7.468871595330739
nexus6p,angularjs,comandroidchrome,2781507.5135135134,18.961389961389962,1315357.528957529,1312976.0617760618,21.546332046332047,12.53088803088803,1072197.6833976833,16.177606177606176,5.723404255319149,18.60154738878143,3.0,1071567.5675675676,1318813.8996138996,182417.79497098646,58,22.111969111969113,1317757.528957529,410727.61196911195,1027014.6718146718,1072123.5521235522,1.4700193423597678,44.102316602316606,9.191119691119692
nexus6p,angularjs,comandroidchrome,2797076.253358925,18.644913627639156,1335238.3877159308,1338278.6948176583,23.982725527831093,9.609615384615385,1068345.489443378,15.27063339731286,6.2384615384615385,18.265384615384615,3.0,1071625.3358925143,1334446.0652591172,181442.3076923077,59,21.75815738963532,1341641.4587332055,358446.792706334,1072467.6923076923,1073464.6153846155,1.5076923076923077,43.923224568138195,8.375
nexus6p,angularjs,comandroidchrome,2755842.7024952015,17.859884836852206,1312279.462571977,1313320.537428023,23.01151631477927,9.980806142034549,1053162.3800383876,16.393474088291747,6.4788461538461535,18.551923076923078,3.0,1053678.310940499,1313615.3550863725,182403.84615384616,59,21.982725527831093,1315209.2130518234,416270.9942418426,983852.3076923077,1053051.8234165066,1.3211538461538461,44.132437619961614,9.18809980806142
nexus6p,angularjs,comandroidchrome,2774408.681992337,19.080459770114942,1305443.6781609196,1304560.91954023,20.64176245210728,12.57088122605364,1056625.287356322,14.754789272030651,6.865900383141763,18.28927203065134,3.0,1055080.4597701149,1307071.264367816,180239.46360153257,58,21.810344827586206,1312689.6551724137,387467.81800766283,1026133.3333333334,1055926.4367816092,1.4980842911877394,43.93295019157088,8.040229885057471
nexus6p,angularjs,comandroidchrome,2780316.336380256,20.520146520146522,1349563.436928702,1351844.9725776964,21.78937728937729,9.813186813186814,1054136.2637362638,16.304029304029303,5.926739926739927,18.505494505494507,3.0,1054558.2417582418,1352975.8241758242,180915.75091575092,58,20.945155393053017,1356688.8482632542,419716.03113553114,973890.1098901099,1052378.021978022,1.293040293040293,44.751371115173676,9.375457875457876
nexus6p,angularjs,comandroidchrome,2789401.273786408,20.009727626459146,1305758.4466019417,1304714.563106796,21.898832684824903,11.560311284046692,1060669.260700389,16.527237354085603,5.904669260700389,18.22178988326848,3.0,1062910.505836576,1306160.3112840466,180972.7626459144,57,20.941747572815533,1306373.5922330096,319792.2879377432,1019766.5369649805,1063097.2762645914,1.8035019455252919,43.664077669902916,7.138132295719845
nexus6p,angularjs,comandroidchrome,2787731.558095238,18.92557251908397,1342427.4285714286,1341430.857142857,20.515267175572518,11.270992366412214,1065380.1526717558,16.654580152671755,6.234732824427481,18.19465648854962,3.0,1065893.1297709923,1340500.7633587786,180000.0,57,20.580952380952382,1345051.4285714286,381595.89885496185,1065709.9236641221,1064903.8167938932,1.3225190839694656,43.70857142857143,9.82824427480916
nexus6p,angularjs,comandroidchrome,2782130.0976645434,19.698513800424628,1287531.210191083,1289365.6050955413,20.804670912951167,10.201698513800425,1055918.4713375797,17.99575371549894,6.35531914893617,18.43617021276596,3.0,1056203.8216560509,1286226.7515923567,180000.0,59,22.636942675159236,1292606.3694267515,390577.4458598726,1057304.4585987262,1056489.1719745223,1.848936170212766,42.817409766454354,8.794055201698514
nexus6p,angularjs,comandroidchrome,2784509.4736842103,18.638671875,1326843.75,1327021.875,22.998046875,12.142578125,1087387.5,17.640625,6.2109375,18.59765625,3.0,1086262.5,1330959.375,181708.984375,58,22.0390625,1325258.4795321638,421269.751953125,1057387.5,1087762.5,1.404296875,43.42300194931774,7.873046875
nexus6p,angularjs,comandroidchrome,2754888.7741935486,19.038709677419355,1310090.322580645,1309532.9032258065,18.39677419354839,9.541935483870967,1009052.9032258064,15.845161290322581,3.8483870967741933,16.825806451612902,3.0,1011468.3870967742,1313125.1612903227,180403.2258064516,59,23.07741935483871,1313976.7741935484,313607.1451612903,1013883.8709677419,1011468.3870967742,1.770967741935484,41.60967741935484,5.945161290322581
nexus6p,angularjs,comandroidchrome,2768166.6946564885,20.732824427480917,1343899.2366412214,1344522.1374045801,21.204588910133843,12.120458891013385,1063987.786259542,16.633587786259543,4.734225621414914,18.462715105162523,3.0,1063342.256214149,1345584.7328244275,180717.017208413,58,22.099236641221374,1348515.4875717016,408661.64053537283,1020904.0152963671,1062644.741873805,1.401529636711281,44.34416826003824,7.738049713193116
nexus6p,angularjs,comandroidchrome,2775107.879699248,19.34463276836158,1319503.7593984962,1318592.4812030075,20.045197740112993,13.542372881355933,1043344.6327683616,16.958568738229754,6.101694915254237,18.065913370998118,3.0,1044718.6440677966,1321943.5028248588,180941.61958568738,58,20.43796992481203,1323491.7293233082,390418.95668549906,1029496.0451977401,1043127.6836158192,1.6572504708097928,43.41353383458647,6.828625235404896
nexus6p,angularjs,comandroidchrome,2780195.2637571157,20.043726235741445,1309031.1787072243,1310236.0531309298,20.773764258555133,12.062737642585551,1065234.980988593,16.165399239543728,6.606463878326996,18.23574144486692,3.0,1064687.4524714828,1309314.0684410646,182851.71102661596,59,21.374524714828897,1314635.294117647,426088.0,1052897.338403042,1067206.0836501902,1.429657794676806,43.29222011385199,7.916349809885932
nexus6p,angularjs,comandroidchrome,2757978.5454545454,20.417457305502847,1329144.5920303606,1331558.2542694497,21.480075901328274,11.800759013282732,1059898.2922201138,17.08728652751423,4.927893738140417,18.483870967741936,3.0,1058222.3908918407,1327878.557874763,182134.724857685,59,21.825426944971536,1335572.7272727273,400098.7590132827,991186.3377609109,1058222.3908918407,1.092979127134725,44.35795454545455,7.476280834914611
